rows,alloc_time_ns,put_time_ns,run_time_ns,run_time_2_ns,get_output_time_ns,total_time_ns
1,98,35020,47725,49524,35152,167519
1,101,35093,50154,49576,35610,170534
1,100,33728,47495,50737,34280,166340
1,102,34115,48674,51655,32528,167074
1,99,38910,47591,49572,33318,169490
1,100,33162,48625,47534,32339,161760
1,100,33568,49260,48819,32709,164456
1,101,34212,48277,48523,34873,165986
1,104,34497,47756,53433,35212,171002
1,99,34902,47235,48523,36070,166829
1,100,33650,52938,48517,36707,171912
1,100,44565,53404,71824,35527,205420
1,100,32854,47279,48257,33285,161775
1,102,34495,50848,56697,33819,175961
1,104,34903,49508,50631,35294,170440
1,100,36214,52858,52806,34147,176125
1,99,33241,49897,54169,34981,172387
1,104,34224,53653,53695,36844,178520
1,99,32949,73923,48900,32587,188458
1,102,32947,47661,49377,36833,166920
1,102,37539,48692,49214,36612,172159
1,100,33211,49724,49314,32182,164531
1,100,35434,48991,49223,40977,174725
1,101,33068,50561,51790,35832,171352
1,100,32110,49074,48949,32633,162866
1,122,33259,48528,52041,34267,168217
1,101,32781,48351,49396,35127,165756
1,100,35567,51351,54466,40760,182244
1,98,41692,47971,49063,39991,178815
1,99,35276,51823,49813,33160,170171
1,100,31248,48344,49274,35533,164499
1,102,33438,51478,52137,38499,175654
1,97,42860,52331,51244,37611,184143
1,99,38915,48450,55551,62058,205073
1,100,47151,51407,51015,36807,186480
1,103,40038,47222,49608,42894,179865
1,101,34869,47307,52279,34943,169499
1,101,35658,48615,52276,35425,172075
1,99,33418,49195,51717,40139,174568
1,101,46118,48387,49204,35606,179416
1,100,34916,48258,49690,32646,165610
1,101,32508,47235,48556,37142,165542
1,100,32679,48574,48564,36660,166577
1,98,34522,47968,50745,35741,169074
1,100,33072,47522,48273,31279,160246
1,100,34013,45797,47412,35266,162588
1,97,35074,48674,47888,36422,168155
1,99,35216,47377,49074,34164,165930
1,101,40816,57144,49677,33023,180761
1,100,32699,46952,48061,33250,161062
1,102,32023,46144,47133,32678,158080
1,101,32087,47190,47441,33758,160577
1,100,34398,44923,47361,34594,161376
1,100,33498,48271,47760,41792,171421
1,101,32572,50032,48040,35032,165777
1,99,34152,47268,72615,42505,196639
1,99,38966,47431,47397,32571,166464
1,99,32655,47316,46692,33768,160530
1,98,32177,46953,51351,33483,164062
1,102,36905,45952,46863,35984,165806
1,99,35182,47977,48338,36041,167637
1,101,33298,47964,45952,37874,165189
1,100,33545,58609,54196,33951,180401
1,100,49917,47840,46504,32204,176565
1,100,35503,50033,49615,36935,172186
1,101,38201,47222,45845,35659,167028
1,100,34009,46788,47374,35350,163621
1,98,32254,47117,46078,36613,162160
1,101,32816,51426,45713,33083,163139
1,103,35963,46203,47327,32501,162097
1,100,32782,48085,47357,33204,161528
1,100,33239,50204,47455,31939,162937
1,99,41380,49570,47717,45584,184350
1,100,33246,47973,50928,38206,170453
1,101,30822,46752,48230,31704,157609
1,100,33140,49474,47951,34300,164965
1,101,33368,47096,46541,34967,162073
1,98,34535,52121,46719,37958,171431
1,101,32793,47635,51504,41065,173098
1,103,68434,52381,46400,33563,200881
1,103,34492,48729,48148,37300,168772
1,100,34433,49966,48021,33417,165937
1,99,36652,49645,55490,35891,177777
1,100,33702,47720,46330,35196,163048
1,98,38197,75068,57741,35183,206287
1,100,33219,47526,46530,33040,160415
1,100,32647,46585,45966,33728,159026
1,101,33583,47774,48123,33780,163361
1,102,36856,52923,47687,33676,171244
1,99,33112,49801,45755,35603,164370
1,101,34221,49471,49567,37170,170530
1,103,35619,49712,47750,35979,169163
1,100,35135,47321,48619,33231,164406
1,101,35111,47203,45895,34800,163110
1,103,33653,45888,47322,32330,159296
1,104,32289,48264,49800,33652,164109
1,99,33905,47038,47233,33867,162142
1,102,31927,50905,56039,34951,173924
1,101,33256,49087,48948,36637,168029
1,101,35421,56479,49651,35258,176910
1,98,38530,51530,53502,39357,183017
1,100,40980,48646,77137,37133,203996
1,101,34813,47745,48803,34241,165703
1,104,36600,47875,48152,37405,170136
1,100,35465,48314,50580,34528,168987
1,99,36328,51611,50052,43235,181325
1,103,38848,48295,51518,36176,174940
1,99,34394,52405,53740,35521,176159
1,98,32595,76715,49329,32595,191332
1,102,32883,46397,46428,37196,163006
1,103,31475,46011,48372,37412,163373
1,100,34416,49544,52248,37297,173605
1,100,33398,50715,46245,39070,169528
1,102,32683,47571,49512,39888,169756
1,102,40207,47949,47050,33614,168922
1,100,32931,48708,47876,34220,163835
1,102,33446,47104,46685,33778,161115
1,101,33898,49611,46691,36501,166802
1,101,32050,47802,47199,44656,171808
1,100,35968,45482,54394,34392,170336
1,98,34073,51003,48372,35238,168784
1,100,33346,46663,47406,33995,161510
1,98,33143,52283,47941,32613,166078
1,103,33350,45478,47016,37290,163237
1,101,43836,57443,48445,34891,184716
1,100,33510,46757,49471,33672,163510
1,98,31470,47168,47224,33686,159646
1,102,32568,46191,45622,33742,158225
1,100,32393,46848,45580,35960,160881
1,100,32640,46820,73223,48576,201359
1,102,32839,51522,51907,32318,168688
1,105,31217,46847,45390,33609,157168
1,98,32587,46607,47667,34108,161067
1,101,32971,46697,47949,33808,161526
1,102,33815,47146,46275,32666,160004
1,101,33168,45874,47740,33136,160019
1,100,35576,47062,49466,34494,166698
1,101,33700,44574,47337,35896,161608
1,101,32930,46342,46937,33796,160106
1,102,32378,46650,47176,33917,160223
1,98,34079,50003,53578,37607,175365
1,100,33616,46247,48444,37706,166113
1,98,32350,46833,47120,32101,158502
1,98,33318,46024,47561,33812,160813
1,97,31839,47095,48464,33955,161450
1,98,32300,46245,49543,33864,162050
1,98,33789,45917,57749,59545,197098
1,99,69617,51170,50340,36774,208000
1,99,34220,48247,47692,34606,164864
1,100,35277,47109,47813,34047,164346
1,101,34118,47071,47668,34622,163580
1,104,32014,46180,49029,35219,162546
1,99,34473,51687,48261,35711,170231
1,103,34940,56441,54506,34299,180289
1,98,58985,47868,46656,32819,186426
1,100,33274,47468,47832,32162,160836
1,100,33413,49209,46877,31000,160599
1,99,33942,46982,41917,33872,156812
1,99,32899,47742,45744,37174,163658
1,102,31340,48181,52057,36868,168548
1,101,38578,46718,45500,34310,165207
1,100,33348,44622,47519,34324,159913
1,99,32872,48913,47933,33571,163388
1,98,35026,50999,46694,41069,173886
1,100,34584,53362,45615,33041,166702
1,101,36708,49056,49863,32026,167754
1,101,34487,46989,46144,32181,159902
1,99,30916,46598,48044,33858,159515
1,103,32744,46987,52392,35240,167466
1,98,34534,47304,54087,35622,171645
1,101,34425,80550,56434,35329,206839
1,101,33892,50229,51666,34414,170302
1,102,35658,48528,50400,35467,170155
1,101,42286,57027,54516,35528,189458
1,100,36220,49195,51520,35037,172072
1,98,37513,74440,63010,34027,209088
1,102,33655,49151,51221,35132,169261
1,102,33438,50015,49669,35600,168824
1,100,36400,52369,46887,36405,172161
1,101,32929,49199,50065,39020,171314
1,103,34630,45224,47506,33791,161254
1,101,34222,48310,52132,32895,167660
1,102,32477,51542,48409,33894,166424
1,99,34241,48156,49072,33339,164907
1,102,34376,46478,45727,32894,159577
1,100,32010,48655,50279,34328,165372
1,98,33429,47991,46728,33372,161618
1,100,31014,46325,45488,32802,155729
1,100,34485,48755,47818,31911,163069
1,100,31593,47892,54334,32744,166663
1,100,31416,45372,45871,31593,154352
1,98,33266,50487,44695,34820,163366
1,100,32015,48020,45724,48929,174788
1,102,32147,44553,44898,33165,154865
1,100,32677,45794,47881,32257,158709
1,99,32290,45921,48312,32670,159292
1,102,32122,45358,45286,33522,156390
1,100,31947,45006,48175,34310,159538
1,100,33978,45925,45576,35073,160652
1,100,44095,48649,52780,31849,177473
1,99,41659,46596,46204,32611,167169
1,100,31338,45829,45050,34823,157140
1,100,32304,45077,45942,32694,156117
1,98,31032,45118,44940,34307,155495
1,100,32145,46498,44796,33588,157127
1,100,32024,45594,46874,34150,158742
1,101,32502,44949,44531,34311,156394
1,102,30972,44864,45865,32495,154298
1,99,32357,45523,44930,31438,154347
1,100,30769,45328,51012,31201,158410
1,100,38360,44705,44278,35062,162505
1,100,31182,45210,52344,32162,160998
1,101,37496,46091,48622,33752,166062
1,101,31813,45243,46190,31423,154770
1,97,30681,45456,44569,32611,153414
1,98,35235,49586,46462,33462,164843
1,100,33502,53382,74242,52873,214099
1,101,30874,46122,45507,33390,155994
1,100,33123,45840,47909,36983,163955
1,98,34103,46304,45556,33028,159089
1,103,32077,45344,46997,32909,157430
1,100,33411,46823,46705,44763,171802
1,103,31154,77662,49881,32411,191211
1,102,32912,48031,48196,34271,163512
1,103,33230,46223,46753,34637,160946
1,102,35773,45599,46276,32244,159994
1,101,33775,45426,48191,32739,160232
1,99,32148,45717,47749,34070,159783
1,99,33170,48709,47293,33037,162308
1,99,34018,47631,45685,32812,160245
1,102,32701,45518,46805,41489,166615
1,101,32752,47503,46463,33596,160415
1,101,32302,46993,48562,33706,161664
1,99,33207,46804,45857,34686,160653
1,101,32481,46504,46356,32898,158340
1,100,30704,46037,45079,32658,154578
1,101,34015,52998,46016,32108,165238
1,102,33534,49724,46315,33002,162677
1,101,33764,45438,47062,42532,168897
1,104,37285,50055,71532,42833,201809
1,102,44466,47969,47866,34170,174573
1,116,34136,47030,47561,35567,164410
1,100,34888,47161,51712,33886,167747
1,102,33717,47031,47842,35980,164672
1,100,35006,49575,50172,36221,171074
1,101,36381,47284,46270,36094,166130
1,98,55237,52617,47051,55876,210879
1,101,32389,46651,47015,32436,158592
1,103,32485,51784,48221,31832,164425
1,102,31696,47103,48418,32050,159369
1,100,31793,46097,46239,33767,157996
1,97,31922,49929,47950,32523,162421
1,101,31480,46506,46017,33230,157334
1,101,32333,45646,47215,33454,158749
1,100,30496,45864,46046,33155,155661
1,100,32190,45505,44784,33282,155861
1,101,32088,48011,48202,41422,169824
1,101,35175,46560,46984,39867,168687
1,102,32029,45543,48674,32219,158567
1,97,32750,46353,46921,32665,158786
1,99,32098,45001,47957,31637,156792
1,100,33111,44498,47621,35994,161324
1,98,33500,48053,49668,33405,164724
1,99,59324,59744,48773,32713,200653
1,98,34330,46467,46750,41130,168775
1,99,32245,44902,47862,37200,162308
1,98,31892,91032,49622,34345,206989
1,104,32450,46778,45428,35563,160323
1,98,37426,70589,56420,34379,198912
1,102,31845,44667,45353,33844,155811
1,100,31988,45328,44587,32782,154785
1,102,31958,46440,46330,34588,159418
1,100,34029,47678,48515,32614,162936
1,97,31531,45432,45185,31086,153331
1,100,32203,51737,46780,32237,163057
1,99,33794,46024,45474,32691,158082
1,102,32588,44670,45179,35950,158489
1,101,31561,48274,49557,32336,161829
1,102,32755,52964,46043,32022,163886
1,102,34182,48358,47001,33824,163467
1,100,36267,46653,45267,32702,160989
1,100,34663,46535,45790,32445,159533
1,100,32254,47066,45551,34466,159437
1,101,32776,51749,50253,34178,169057
1,101,33231,52094,48017,36058,169501
1,101,33321,47766,71310,35807,188305
1,103,34390,59749,48973,35250,178465
1,103,34635,46924,47654,34275,163591
1,97,34548,46138,48481,36365,165629
1,99,34596,49458,49693,34526,168372
1,101,36062,47274,46114,32345,161896
1,100,33722,49885,45074,37160,165941
1,100,53397,47293,46994,39302,187086
1,99,34167,48859,48942,33166,165233
1,102,34752,46280,45924,33713,160771
1,100,34630,44214,45278,33138,157360
1,98,35249,47749,46771,33837,163704
1,101,33518,47431,47125,35195,163370
1,101,36287,46389,47964,33703,164444
1,98,32639,46336,45994,33780,158847
1,100,34437,46563,47905,32325,161330
1,99,31901,49877,46363,34222,162462
1,99,39513,51203,48473,33472,172760
1,100,33274,50048,45137,32625,161184
1,102,33084,46145,45228,42653,167212
1,100,36460,46175,46628,33083,162446
1,101,34075,49372,49829,33773,167150
1,98,37997,49962,52447,38385,178889
1,100,34072,48469,47896,34229,164766
1,101,40581,46983,78450,36027,202142
1,101,33711,48083,49756,33954,165605
1,102,34734,46326,47856,34253,163271
1,100,33238,47125,47908,35921,164292
1,102,34412,51972,50043,35355,171884
1,101,36061,62327,69665,51282,219436
1,103,34310,46875,50059,33982,165329
1,100,32485,48848,48292,33686,163411
1,100,31890,46882,56616,32486,167974
1,101,33597,48658,47065,33494,162915
1,100,32418,53793,48771,33589,168671
1,101,34533,49651,50648,36086,171019
1,98,33648,47999,49363,37053,168161
1,100,34413,48808,47092,40453,170866
1,99,36002,50611,48379,33900,168991
1,100,32523,47833,47865,36389,164710
1,103,37534,46683,47316,34271,165907
1,97,33679,46101,46664,33955,160496
1,100,33619,48864,48158,33236,163977
1,98,34667,47920,45099,33748,161532
1,102,33939,47838,45893,35273,163045
1,100,31656,46894,48398,42179,169227
1,100,35402,52020,72327,35479,195328
1,103,49820,49602,47237,33410,180172
1,100,33735,47090,47140,34132,162197
1,100,33133,48524,45016,32509,159282
1,102,33626,47284,47523,33520,162055
1,102,32529,47545,45927,38306,164409
1,101,33224,51360,48682,34453,167820
1,100,33453,54277,54054,32867,174751
1,98,50779,49057,50198,33804,183936
1,101,32199,46245,46279,34728,159552
1,101,33140,46808,46658,34190,160897
1,100,31473,46574,45491,34881,158519
1,101,31891,46267,47960,37535,163754
1,101,34847,45114,47150,34443,161655
1,99,31577,44925,44689,31568,152858
1,101,30370,46357,46070,36290,159188
1,100,31424,46914,45959,35029,159426
1,99,32262,48067,47113,31962,159503
1,100,40643,46018,45656,33187,165604
1,100,31702,46535,47243,34940,160520
1,101,34060,47574,46328,32390,160453
1,100,32733,46519,45909,34129,159390
1,100,33303,46900,47266,39996,167565
1,101,32337,52696,47808,33747,166689
1,100,33253,47879,82350,38296,201878
1,103,34865,46827,48701,34835,165331
1,98,34336,47166,46834,33089,161523
1,102,34950,46236,46917,35963,164168
1,99,36174,48113,48408,35755,168549
1,101,39313,59202,52947,49888,201451
1,101,35125,47375,47380,37331,167312
1,104,33124,46866,47519,33456,161069
1,103,32045,46698,48591,34789,162226
1,98,33388,46472,46144,33210,159312
1,102,33539,47966,48765,36467,166839
1,102,33885,47896,46997,32678,161558
1,99,35446,47651,48505,36606,168307
1,100,34113,48443,49270,35616,167542
1,101,35398,48047,49531,32644,165721
1,100,33292,46047,48253,33523,161215
1,99,33068,46904,47934,37364,165369
1,99,38642,56210,46525,33303,174779
1,100,33242,48174,48327,32710,162553
1,100,32454,46068,46152,34272,159046
1,100,32599,46316,45678,32028,156721
1,99,35324,45912,48049,39339,168723
1,100,35039,52091,49133,49429,185792
1,99,35515,61160,48960,37595,183329
1,100,34509,47922,50263,35027,167821
1,99,33200,51224,48167,34624,167314
1,101,34952,49166,46936,35849,167004
1,98,33943,46790,48176,33238,162245
1,101,33860,51464,48008,33183,166616
1,99,36736,52795,51637,39719,180986
1,102,33537,52298,45415,36517,167869
1,99,33091,47381,49215,33411,163197
1,101,32335,46798,46601,34115,159950
1,100,37334,47047,53176,33744,171401
1,103,44425,48328,45984,37355,176195
1,98,36093,46911,47967,33796,164865
1,100,33344,45903,45794,33509,158650
1,98,31994,45055,46947,31744,155838
1,100,33029,48583,47277,35164,164153
1,99,32433,49643,49173,36786,168134
1,98,33884,68531,50178,40020,192711
1,103,33372,50680,55553,33218,172926
1,98,33914,45736,48857,33241,161846
1,100,32917,47609,47533,33524,161683
1,100,37465,51915,51080,33664,174224
1,101,33249,45142,47409,33880,159781
1,100,73130,57029,49807,33938,214004
1,101,32518,45911,46660,32144,157334
1,100,34007,46891,48872,33606,163476
1,100,32570,46542,46794,34292,160298
1,99,37178,50578,45790,33939,167584
1,99,34095,47496,59347,47638,188675
1,99,33912,46335,47322,33967,161635
1,101,30897,47010,45629,36280,159917
1,100,32789,44542,45448,40512,163391
1,100,32056,45759,46554,32807,157276
1,98,32451,47509,47354,35375,162787
1,101,32783,47173,50119,36266,166442
1,100,37362,46906,47206,34173,165747
1,100,30351,50133,46895,35705,163184
1,99,34260,45815,44906,31732,156812
1,99,32463,46058,43669,35508,157797
1,100,32156,44677,47886,31663,156482
1,99,34371,45802,47207,32881,160360
1,100,32527,45814,47224,34483,160148
1,99,34520,48192,45249,33103,161163
1,100,32928,48807,49752,32840,164427
1,101,32926,46189,45064,41762,166042
1,100,35931,48570,48864,32186,165651
1,100,54727,58739,48314,33969,195849
1,101,34786,45838,50565,34479,165769
1,99,32495,46284,50462,35365,164705
1,100,34905,46865,47406,31763,161039
1,110,33422,47238,47541,34124,162435
1,100,35236,45178,53286,33597,167397
1,98,33944,45842,48910,40814,169608
1,99,33350,52980,47659,32013,166101
1,100,31540,46761,48374,34954,161729
1,100,34234,47439,49591,33394,164758
1,101,33794,46022,47547,36932,164396
1,104,32031,46476,47187,35422,161220
1,100,39053,46081,53713,36803,175750
